epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,2463.07,2.42867,2.72543,2.11209,0.27888,0.39756,0.30158,0.10581,2.81215,2.92098,2.47019,0.00144576,0.00144576,0.00144576
165,2477.5,2.40794,2.6971,2.11275,0.31375,0.37613,0.30114,0.09775,2.81253,2.87454,2.46834,0.00141154,0.00141154,0.00141154
166,2491.87,2.42146,2.68003,2.12296,0.33598,0.37647,0.31081,0.10615,2.74233,2.86768,2.39502,0.00137732,0.00137732,0.00137732
167,2506.31,2.42377,2.67395,2.10875,0.31862,0.39057,0.29896,0.0967,2.852,3.03236,2.47269,0.00134311,0.00134311,0.00134311
168,2520.71,2.40947,2.67624,2.12087,0.26446,0.39526,0.28625,0.10002,2.76589,3.16231,2.40877,0.00130889,0.00130889,0.00130889
169,2535.12,2.43034,2.69387,2.12514,0.34778,0.37725,0.29998,0.10467,2.84191,2.98766,2.50428,0.00127467,0.00127467,0.00127467
170,2549.61,2.41963,2.66147,2.10906,0.34095,0.38239,0.32263,0.12553,2.66344,2.81994,2.33359,0.00124046,0.00124046,0.00124046
171,2564.08,2.42063,2.65062,2.08993,0.31156,0.3982,0.32283,0.11047,2.73321,2.91652,2.41026,0.00120624,0.00120624,0.00120624
172,2578.57,2.40138,2.66105,2.09965,0.31795,0.37375,0.29517,0.09786,2.81014,3.05406,2.46766,0.00117202,0.00117202,0.00117202
173,2593.03,2.39613,2.64641,2.09648,0.37056,0.37731,0.32585,0.1281,2.68043,2.85841,2.36042,0.00113781,0.00113781,0.00113781
174,2607.81,2.37531,2.59241,2.0756,0.32667,0.38807,0.30414,0.10881,2.70699,2.84795,2.40511,0.00110359,0.00110359,0.00110359
175,2623.1,2.37802,2.59934,2.07935,0.35395,0.39835,0.33115,0.11721,2.84707,2.84948,2.5031,0.00106937,0.00106937,0.00106937
176,2638.5,2.37203,2.59384,2.08559,0.32693,0.40486,0.32327,0.11605,2.74561,2.87658,2.41918,0.00103516,0.00103516,0.00103516
177,2653.94,2.37492,2.59672,2.09876,0.37519,0.39393,0.33265,0.12403,2.68519,2.88969,2.36961,0.00100094,0.00100094,0.00100094
178,2669.28,2.39985,2.61455,2.10467,0.3403,0.3823,0.32519,0.11942,2.71708,2.89717,2.37591,0.000966723,0.000966723,0.000966723
179,2684.56,2.36452,2.61746,2.10298,0.3111,0.42526,0.32933,0.1114,2.75962,2.86417,2.42539,0.000932506,0.000932506,0.000932506
180,2699.88,2.35207,2.5645,2.07415,0.33376,0.36691,0.31607,0.10429,2.79082,2.85117,2.45403,0.00089829,0.00089829,0.00089829
181,2726.59,2.27917,2.49195,2.1281,0.3458,0.40926,0.33896,0.11526,2.77913,2.9003,2.44107,0.000864073,0.000864073,0.000864073
